id,length,pack,state,size,condition,cat2,stacks,width,count,target
1,14779,37069.2111,ST-1C,2992,CO-0,CA-D,40287,3722.329,25595.90523,TA-0
2,24017,58168.0395,ST-4,18118,CO-4,CA-F,30093,827.087,55728.2517,TA-0
3,24104,50474.5357,ST-6,1646,CO-C,CA-11,19837,5231.577,86624.52422,TA-0
4,21591,61828.1411,ST-26,10246,CO-1,CA-1,35809,1857.653,29609.73789,TA-2
5,26239,46190.7132,ST-5,22443,CO-9,CA-19,34524,7668.332,85914.10742,TA-1
6,18800,55798.0192,ST-1D,22964,CO-B,CA-13,29172,12877.191,42607.50047,TA-2
7,24153,32365.2245,ST-C,43373,CO-6,CA-14,37395,15132.48,17477.08013,TA-3
8,23206,NA,ST-B,20311,CO-D,CA-15,41048,16545.691,13334.4508,TA-1
9,24419,51764.2231,ST-D,50612,CO-4,CA-15,43536,14438.535,1466.48272,TA-4
10,14785,56510.9669,ST-27,7187,CO-1,CA-6,26589,12555.624,13973.14004,TA-1
11,20098,33067.4848,ST-25,47964,CO-3,CA-13,38885,5739.864,88304.76131,TA-4
12,14057,53540.8168,ST-29,23440,CO-7,CA-7,48529,3636.127,24775.56584,TA-2
13,12095,46441.4268,ST-19,28397,CO-C,CA-0,35492,21379.278,84670.40449,TA-2
14,4732,59641.5969,ST-3,31598,CO-8,CA-3,50604,16713.251,71280.01651,TA-2
15,36701,57854.6676,ST-1E,31621,CO-D,CA-2,47227,25941.859,58196.61983,TA-4
16,32975,57113.6353,ST-15,5480,CO-6,CA-D,40674,19141.268,51757.46009,TA-1
17,7323,53002.6102,ST-1E,37188,CO-2,CA-10,28119,16410.613,2558.79231,TA-2
18,2267,62991.8285,ST-2,22174,CO-7,CA-F,45289,7643.283,53734.41594,TA-1
19,37349,56577.8245,ST-3,28985,CO-8,CA-1,44233,1414.132,67334.29843,TA-2
20,30334,25029.2061,ST-1D,41805,CO-0,CA-F,44788,21021.272,43910.58431,TA-4
21,33805,37957.4604,ST-1E,16516,CO-2,CA-12,33334,16624.598,57186.90735,TA-2
22,23263,NA,ST-1F,15227,CO-1,CA-4,32360,21228.397,48082.59063,TA-2
23,36636,45220.7011,ST-17,47074,CO-D,CA-14,37760,18819.055,63831.77126,TA-4
24,22199,42823.4135,ST-D,15366,CO-3,CA-17,15122,4749.688,54176.49755,TA-0
25,27200,41557.1343,ST-1F,923,CO-1,CA-3,43486,15419.362,69018.25312,TA-1
26,7950,30970.7247,ST-C,16868,CO-A,CA-1,21803,18366.141,9351.35107,TA-1
27,3978,49807.8374,ST-19,29354,CO-9,CA-3,46118,5246.558,34072.46728,TA-2
28,22023,58719.4091,ST-D,17154,CO-0,CA-12,44773,19081.657,32204.16373,TA-1
29,11697,21112.6582,ST-9,46437,CO-5,CA-14,45388,5299.335,61452.89395,TA-3
30,34969,43377.56,ST-7,46483,CO-A,CA-B,28947,2308.142,2062.26107,TA-4
31,26198,47052.9612,ST-9,787,CO-A,CA-E,38754,19238.485,35950.14847,TA-0
32,10663,58170.8007,ST-1B,26695,CO-7,CA-F,19890,21227.537,84783.22006,TA-2
33,12366,35771.2533,ST-23,30313,CO-5,CA-16,38467,6059.852,28844.29305,TA-2
34,20528,NA,ST-14,23302,CO-D,CA-2,42056,26324.576,71866.04164,TA-2
35,13693,36573.1391,ST-17,21995,CO-C,CA-A,34351,19332.517,87059.29057,TA-1
36,30250,54652.8555,ST-B,28078,CO-C,CA-0,44860,23184.24,56820.9512,TA-2
37,24507,37667.6885,ST-18,30751,CO-5,CA-18,39438,21037.449,10558.6281,TA-2
38,17193,71638.0353,ST-15,37091,CO-6,CA-15,46456,12531.633,69597.10847,TA-3
39,8101,64162.289,ST-24,43167,CO-6,CA-3,44563,22080.991,12517.06767,TA-4
40,1478,54068.6114,ST-2,33701,CO-5,CA-14,47810,10119.173,67615.85523,TA-1
41,35204,62620.3452,ST-3,10929,CO-5,CA-C,62366,997.469,15022.21481,TA-0
42,25561,46048.7109,ST-25,10258,CO-0,CA-7,42320,23649.432,28905.59584,TA-2
43,20619,50723.7419,ST-A,43292,CO-9,CA-13,38769,12960.944,47166.54236,TA-3
44,9685,53904.7404,ST-9,34766,CO-1,CA-19,50443,3499.98,15626.47666,TA-2
45,20226,47326.5526,ST-11,14081,CO-9,CA-3,33311,7648.674,43036.73877,TA-1
46,25878,51232.7757,ST-1B,40073,CO-D,CA-15,33918,10566.966,59764.90437,TA-4
47,16654,18405.5368,ST-18,6304,CO-C,CA-C,37315,4571.14,71535.30574,TA-0
48,7332,57193.8686,ST-1F,45215,CO-8,CA-3,39236,3181.377,51812.94567,TA-4
49,16636,65768.2775,ST-3,39539,CO-8,CA-5,57341,5609.6,84719.55117,TA-3
50,17159,51357.3844,ST-3,45050,CO-5,CA-B,31127,10377.965,66797.18545,TA-3
51,10709,40554.7309,ST-13,16948,CO-D,CA-7,51346,27044.377,68902.3101,TA-1
52,18441,59722.4311,ST-9,44997,CO-0,CA-18,42652,13510.277,57646.39656,TA-3
53,7484,40051.084,ST-1E,48560,CO-A,CA-8,39475,9571.371,43312.71065,TA-4
54,21605,41763.381,ST-A,22811,CO-2,CA-12,46630,3688.172,66413.73587,TA-1
55,14009,38904.0149,ST-0,50540,CO-1,CA-17,37801,5257.433,58592.2794,TA-3
56,22253,68648.2,ST-22,30403,CO-9,CA-13,47489,22574.585,8991.5403,TA-3
57,7195,47087.9889,ST-5,10598,CO-2,CA-7,40271,12853.577,35106.66939,TA-0
58,10919,47016.0292,ST-1D,27449,CO-B,CA-4,47872,4408.972,75194.44489,TA-2
59,12589,83850.0657,ST-10,18095,CO-7,CA-4,36037,3287.207,54599.15821,TA-1
60,32534,NA,ST-15,11263,CO-8,CA-C,30813,20322.881,58643.74231,TA-1
61,16040,34937.8184,ST-16,40775,CO-8,CA-C,50544,14745.423,76601.92561,TA-3
62,17606,58747.0811,ST-1B,1770,CO-1,CA-9,42376,11049.443,14941.61485,TA-0
63,3343,44431.326,ST-5,42896,CO-0,CA-7,32988,23941.329,69573.75795,TA-3
64,6335,65448.0854,ST-12,29966,CO-9,CA-14,36851,16366.059,42277.3777,TA-1
65,4833,47190.782,ST-22,15379,CO-2,CA-F,44030,20548.14,18563.36389,TA-0
66,19566,59665.3706,ST-C,21424,CO-8,CA-3,40456,7891.106,38160.17742,TA-1
67,6322,26482.3654,ST-20,49687,CO-3,CA-B,54257,21215.723,87596.28842,TA-4
68,5223,NA,ST-1B,8217,CO-3,CA-2,39022,888.543,18062.59526,TA-0
69,33418,57129.8494,ST-11,16791,CO-2,CA-B,32981,26458.762,87589.23325,TA-2
70,19589,45126.4837,ST-29,38025,CO-6,CA-14,45335,2589.091,19331.91408,TA-4
71,14412,31021.4551,ST-2B,34707,CO-7,CA-4,39932,15197.65,5686.0837,TA-4
72,5954,44346.0365,ST-12,20710,CO-8,CA-C,35627,16452.937,33453.76545,TA-1
73,36431,59295.4093,ST-20,44077,CO-D,CA-7,47399,18207.137,12567.36635,TA-4
74,37716,51292.8208,ST-21,19942,CO-D,CA-12,50645,22146.006,32077.42993,TA-3
75,28151,44945.7952,ST-28,19392,CO-8,CA-E,45150,22840.635,39670.07707,TA-3
76,34179,43553.6819,ST-11,47509,CO-4,CA-12,50669,17354.484,45847.42885,TA-4
77,17592,69847.9713,ST-2B,6071,CO-3,CA-8,31576,12400.97,28476.84704,TA-1
78,19245,50130.4232,ST-8,22555,CO-1,CA-13,50748,22301.906,76093.34735,TA-1
79,2907,52977.7199,ST-25,14308,CO-A,CA-6,39735,16359.0,19531.73197,TA-0
80,14781,51688.9932,ST-1B,24226,CO-6,CA-A,43248,25669.831,30346.25969,TA-2
81,13546,35616.4303,ST-21,43701,CO-A,CA-B,43012,22753.51,79401.03584,TA-4
82,22880,42412.3102,ST-1,28225,CO-0,CA-11,46451,19464.804,77755.78988,TA-1
83,25092,NA,ST-1,46557,CO-3,CA-10,40169,27076.858,8172.44791,TA-3
84,12930,33087.9088,ST-13,35356,CO-C,CA-B,57138,24017.443,62202.08231,TA-3
85,26807,59785.6965,ST-8,22469,CO-5,CA-3,28392,17881.0,31837.4552,TA-2
86,28338,44863.9008,ST-4,24539,CO-4,CA-16,31288,3900.256,66958.00749,TA-1
87,28374,34068.7224,ST-1,11924,CO-5,CA-0,29522,2139.043,36516.85393,TA-0
88,4062,60455.3616,ST-A,1471,CO-2,CA-17,41781,25740.481,5378.21133,TA-0
