id,zip,bedrooms,bathrooms,garage,land,sqft,price
1,60019,9,2,3,2.198,4860,1005580
2,60049,5,2,2,4.517,2870,620278
3,60011,2,1,0,4.12,1220,265711
4,60027,6,4,2,3.201,3810,819916
5,60001,9,3,2,1.347,5061,1039491
6,60020,1,1,0,4.053,731,160367
7,60001,1,1,0,3.649,743,167401
8,60039,6,4,2,2.314,3802,781214
9,60024,2,1,0,0.571,1238,276985
10,60006,2,1,0,3.633,1202,254259
11,60044,1,1,0,1.628,743,153105
12,60003,7,3,2,0.984,4110,841512
13,60039,4,1,1,1.419,2250,456339
14,60042,2,1,0,3.277,1184,250074
15,60048,7,5,2,1.41,4499,916977
16,60013,2,1,0,3.136,1227,277856
17,60020,2,1,0,4.423,1205,257017
18,60036,2,1,0,2.373,1227,284079
19,60038,5,2,2,4.926,2869,611696
20,60019,9,5,3,1.612,5527,1136050
21,60029,2,1,0,3.037,1171,258548
22,60023,1,1,0,0.258,715,154099
23,60006,7,3,2,0.571,4133,845149
24,60009,2,1,0,1.534,1233,241011
25,60017,1,1,0,3.057,691,137579
26,60006,6,2,2,2.169,3363,699139
27,60021,7,3,2,0.412,4057,826017
28,60029,9,7,2,0.562,5860,1203973
29,60045,9,3,2,4.827,5139,1073152
30,60000,4,2,1,0.612,2392,479040
31,60027,5,3,2,2.86,3084,673011
32,60021,5,2,2,2.923,2916,610372
33,60041,8,3,2,3.446,4614,973493
34,60041,2,1,0,2.054,1191,261933
35,60012,8,3,2,3.607,4642,974444
36,60033,8,2,3,1.561,4368,934088
37,60045,8,5,2,0.878,5019,1029407
38,60012,1,1,0,0.715,704,152384
39,60046,3,1,1,3.201,1709,394507
40,60023,1,1,0,4.067,671,164344
41,60015,8,5,3,3.285,5046,1053930
42,60036,7,2,2,2.823,3926,846129
43,60001,8,2,3,4.652,4382,930216
44,60030,7,1,2,0.547,3669,773297
45,60029,9,5,3,3.027,5552,1164698
46,60044,8,4,2,2.219,4823,992060
47,60020,1,1,0,3.544,718,155222
48,60017,2,1,0,2.606,1174,231924
49,60029,5,3,2,3.505,3079,662488
50,60009,7,2,2,2.538,3857,790831
51,60002,9,2,3,4.87,4876,1040251
52,60048,8,5,3,2.619,4986,1030422
53,60030,7,3,2,3.867,4125,881097
54,60016,8,5,2,1.946,4958,1016525
55,60030,6,1,2,0.898,3169,675052
56,60027,5,1,2,1.777,2711,592996
57,60008,8,2,2,0.658,4356,885561
58,60010,6,2,2,3.683,3367,708178
59,60025,1,1,0,2.343,743,167885
60,60015,7,1,2,2.847,3660,764540
61,60046,9,6,3,2.941,5722,1215807
62,60018,4,1,1,1.695,2212,471738
63,60032,1,1,0,4.054,747,160057
64,60005,5,1,2,0.585,2725,597163
65,60040,1,1,0,3.663,707,165790
66,60010,7,3,2,3.264,4097,852083
67,60000,6,3,2,4.276,3587,746360
68,60033,1,1,0,2.284,696,173303
69,60022,2,1,0,2.274,1218,278874
70,60039,1,1,0,3.73,697,147294
71,60031,8,6,2,2.124,5197,1071175
72,60015,7,1,2,1.125,3750,773930
73,60040,2,1,0,4.214,1186,264345
74,60007,6,4,2,4.533,3759,784412
75,60019,2,1,0,0.754,1157,227760
76,60001,5,3,2,4.235,3082,658131
77,60041,8,2,3,1.645,4424,936488
78,60033,2,1,0,0.807,1199,266518
79,60038,6,1,2,1.012,3192,656726
80,60004,3,1,1,0.358,1689,343139
81,60046,1,1,0,3.843,689,183717
82,60008,9,3,2,3.916,5083,1047251
83,60005,9,6,3,3.258,5686,1212728
84,60018,2,1,0,2.408,1183,259503
85,60040,8,5,3,2.428,4961,1040415
86,60042,5,2,2,1.356,2948,613269
87,60004,7,5,2,4.851,4544,946604
88,60032,9,7,2,1.796,5933,1205967
89,60025,5,1,2,1.258,2736,581060
90,60030,4,2,1,3.726,2440,533392
91,60017,1,1,0,3.18,749,149794
92,60047,4,1,1,2.65,2234,462664
93,60015,5,3,2,0.506,3149,650635
94,60004,1,1,0,4.17,733,160999
95,60044,4,2,1,3.394,2369,497135
96,60023,3,1,1,3.122,1733,382019
97,60040,5,1,2,3.046,2652,571705
98,60008,2,1,0,3.617,1247,258556
99,60038,3,1,1,4.735,1740,374941
100,60025,4,2,1,2.317,2360,501155
101,60048,1,1,0,0.969,748,144572
102,60024,4,1,1,0.748,2202,480670
103,60047,2,1,0,2.824,1189,244534
104,60008,4,1,1,0.532,2160,435731
105,60011,1,1,0,4.734,669,158581
106,60021,5,1,2,0.744,2718,559877
107,60019,1,1,0,1.253,656,130055
108,60010,3,1,1,0.568,1677,344603
109,60045,6,4,2,4.326,3803,803447
110,60044,9,3,2,3.632,5134,1061325
111,60032,2,1,0,4.114,1237,258357
112,60040,6,4,2,3.889,3773,800120
113,60006,4,1,1,3.05,2241,469144
114,60031,5,1,2,0.939,2662,558250
115,60023,4,1,1,1.433,2170,460974
116,60026,7,5,2,3.764,4454,922715
117,60030,7,3,2,2.494,4062,861632
118,60008,1,1,0,4.212,725,157131
119,60042,5,1,2,2.647,2673,564724
120,60030,3,1,1,1.229,1723,377507
121,60040,9,6,3,0.688,5748,1189115
122,60032,6,2,2,4.295,3352,702262
123,60047,5,1,2,4.666,2672,570344
124,60010,2,1,0,0.979,1194,240058
125,60003,6,4,2,1.574,3797,781862
126,60019,7,2,2,3.8,3896,810790
127,60028,7,1,2,4.077,3716,775986
128,60032,7,2,2,1.661,3881,794892
129,60001,3,1,1,4.852,1654,365616
130,60014,6,2,2,2.26,3433,722633
131,60012,7,3,2,0.731,4091,849864
132,60049,7,4,2,3.195,4293,898268
133,60035,3,1,1,2.49,1749,366092
134,60000,2,1,0,4.274,1233,255550
135,60049,3,1,1,1.035,1695,357868
136,60018,2,1,0,1.774,1186,256933
137,60004,9,5,2,3.456,5484,1127629
138,60004,3,1,1,0.478,1652,336339
139,60031,5,1,2,1.773,2746,579220
140,60005,8,5,3,1.673,5004,1068403
141,60017,2,1,0,0.733,1197,227159
