id,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,mpg
1,8,307,130,3504,12,70,1,chevrolet chevelle malibu,18
2,8,350,165,3693,11.5,70,1,buick skylark 320,15
3,8,318,150,3436,11,70,1,plymouth satellite,18
4,8,304,150,3433,12,70,1,amc rebel sst,16
5,8,302,140,3449,10.5,70,1,ford torino,17
6,8,429,198,4341,10,70,1,ford galaxie 500,15
7,8,454,220,4354,9,70,1,chevrolet impala,14
8,8,440,215,4312,8.5,70,1,plymouth fury iii,14
9,8,455,225,4425,10,70,1,pontiac catalina,14
10,8,390,190,3850,8.5,70,1,amc ambassador dpl,15
11,8,383,170,3563,10,70,1,dodge challenger se,15
12,8,340,160,3609,8,70,1,plymouth 'cuda 340,14
13,8,400,150,3761,9.5,70,1,chevrolet monte carlo,15
14,8,455,225,3086,10,70,1,buick estate wagon (sw),14
15,4,113,95,2372,15,70,3,toyota corona mark ii,24
16,6,198,95,2833,15.5,70,1,plymouth duster,22
17,6,199,97,2774,15.5,70,1,amc hornet,18
18,6,200,85,2587,16,70,1,ford maverick,21
19,4,97,88,2130,14.5,70,3,datsun pl510,27
20,4,97,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan,26
21,4,110,87,2672,17.5,70,2,peugeot 504,25
22,4,107,90,2430,14.5,70,2,audi 100 ls,24
23,4,104,95,2375,17.5,70,2,saab 99e,25
24,4,121,113,2234,12.5,70,2,bmw 2002,26
25,6,199,90,2648,15,70,1,amc gremlin,21
26,8,360,215,4615,14,70,1,ford f250,10
27,8,307,200,4376,15,70,1,chevy c20,10
28,8,318,210,4382,13.5,70,1,dodge d200,11
29,8,304,193,4732,18.5,70,1,hi 1200d,9
30,4,97,88,2130,14.5,71,3,datsun pl510,27
31,4,140,90,2264,15.5,71,1,chevrolet vega 2300,28
32,4,113,95,2228,14,71,3,toyota corona,25
33,4,98,?,2046,19,71,1,ford pinto,25
34,6,232,100,2634,13,71,1,amc gremlin,19
35,6,225,105,3439,15.5,71,1,plymouth satellite custom,16
36,6,250,100,3329,15.5,71,1,chevrolet chevelle malibu,17
37,6,250,88,3302,15.5,71,1,ford torino 500,19
38,6,232,100,3288,15.5,71,1,amc matador,18
39,8,350,165,4209,12,71,1,chevrolet impala,14
