id,convention,height,max,cat2,number,usage,region,length,code,power,item,weight,country,target
1,CO-1A,4284.51,44907,CA-E,16669,US-7,RE-4,12471.1127,CO-B,27351.36,IT-17,13722,CO-1,44098.10676857749
2,CO-C,806.88,48831,CA-A,8652,US-20,RE-15,10035.7085,CO-E,42323.89,IT-1E,33779,CO-0,95567.29404383797
3,CO-19,2859.8,40760,CA-16,23103,US-17,RE-1D,14442.6566,CO-5,30660.91,IT-14,26633,CO-23,48583.507152860664
4,CO-2B,5823.87,33597,CA-9,17680,US-10,RE-1D,15121.4937,CO-B,59456.24,IT-8,14537,CO-11,130572.20206375264
5,CO-5,NA,29848,CA-9,24136,US-21,RE-4,18093.9147,CO-4,46998.44,IT-5,21135,CO-1E,85768.81284994146
6,CO-4,2030.39,46624,CA-17,14122,US-1,RE-16,NA,CO-D,38104.71,IT-F,51085,CO-D,75530.97900311447
7,CO-19,6804.32,41022,CA-1F,21974,US-21,RE-E,19150.6343,CO-5,29937.41,IT-B,47594,CO-16,34056.25465051366
8,CO-A,NA,32791,CA-22,24311,US-29,RE-B,16803.2572,CO-10,46282.28,IT-E,20528,CO-1A,87353.12175460852
9,CO-E,5865.44,64563,CA-9,23250,US-15,RE-D,17532.003,CO-F,40048.15,IT-A,40902,CO-16,67926.2428132567
10,CO-9,5615.7,50865,CA-18,13579,US-D,RE-19,14460.4902,CO-4,60201.67,IT-1B,2762,CO-9,134219.58561863998
11,CO-F,6239.7,40782,CA-F,16961,US-1E,RE-17,16043.9186,CO-0,37509.07,IT-11,37923,CO-7,64558.309366181165
12,CO-28,6116.8,65910,CA-C,20845,US-1F,RE-17,16378.6369,CO-4,47202.5,IT-3,49594,CO-17,92531.61908840975
13,CO-2A,3382.83,46962,CA-1A,22943,US-18,RE-4,13014.0601,CO-10,48491.02,IT-18,2627,CO-4,104113.7827164536
14,CO-7,4732.77,39936,CA-21,24650,US-19,RE-13,11321.2894,CO-8,34066.6,IT-1B,22747,CO-A,67382.80531057087
15,CO-17,2975.95,38343,CA-18,24204,US-6,RE-13,15756.7449,CO-10,31710.35,IT-1E,45025,CO-23,48666.21373570073
16,CO-E,6453.77,41051,CA-3,21350,US-20,RE-B,13790.4842,CO-7,39244.07,IT-9,22406,CO-27,75458.9307045796
17,CO-26,205.05,64055,CA-19,21418,US-1C,RE-11,6652.1616,CO-0,33881.5,IT-10,39626,CO-11,80534.15672167881
18,CO-24,6243.29,60646,CA-13,18703,US-25,RE-2,18249.4672,CO-9,54925.26,IT-9,12946,CO-7,108163.98583134866
19,CO-A,5574.69,34704,CA-12,17971,US-1D,RE-E,11129.663,CO-C,43137.88,IT-3,53494,CO-2,95429.95060099995
20,CO-6,5274.14,54019,CA-1D,10529,US-2,RE-16,11405.5414,CO-8,29761.64,IT-A,29121,CO-B,54713.558618474955
21,CO-1C,NA,44709,CA-13,17648,US-24,RE-1B,10962.4826,CO-5,58982.44,IT-F,15425,CO-0,141240.44006644594
22,CO-7,478.61,52161,CA-1,16417,US-12,RE-1B,12428.2184,CO-9,46660.01,IT-C,17798,CO-11,100952.00349937493
23,CO-1F,229.91,58051,CA-1D,18551,US-15,RE-8,11162.2583,CO-7,44620.48,IT-1D,7787,CO-13,98327.24459804969
24,CO-F,6817.31,58760,CA-24,22634,US-28,RE-7,10187.687,CO-10,29243.56,IT-1B,44470,CO-F,57085.221438359185
25,CO-B,4261.78,50321,CA-7,18519,US-19,RE-B,12672.7246,CO-E,49564.37,IT-12,54387,CO-1C,109992.74935664702
26,CO-17,NA,30950,CA-21,15658,US-12,RE-0,12763.6482,CO-1,43657.94,IT-17,20282,CO-25,91272.2059261424
27,CO-2D,3388.94,63586,CA-A,11868,US-15,RE-1D,9043.7113,CO-C,30976.75,IT-1C,18565,CO-15,64763.78954578246
28,CO-3,2752.39,55214,CA-1C,17282,US-1,RE-1D,19264.8564,CO-8,37132.64,IT-18,17250,CO-20,53280.605421631604
29,CO-12,1524.72,63939,CA-C,16341,US-1D,RE-A,14559.5055,CO-7,43998.95,IT-4,48215,CO-13,88177.59711588302
30,CO-4,NA,44127,CA-25,17312,US-29,RE-19,14255.6961,CO-9,47154.29,IT-A,10442,CO-19,96855.2566595228
31,CO-1C,NA,54546,CA-13,12690,US-B,RE-F,22046.8809,CO-E,13365.95,IT-4,39951,CO-16,-23093.478544210866
32,CO-F,4727.11,50410,CA-19,15580,US-3,RE-E,13214.0217,CO-7,48794.18,IT-1D,17441,CO-1B,104936.04288085664
33,CO-2,406.94,65190,CA-A,21453,US-15,RE-4,12947.9592,CO-E,34527.03,IT-14,25114,CO-0,64135.45578471238
34,CO-6,2868.11,42240,CA-22,18333,US-10,RE-E,13504.3071,CO-6,52788.58,IT-17,52659,CO-20,117063.29399852376
35,CO-13,NA,38655,CA-8,21721,US-2B,RE-F,14607.9482,CO-0,60458.38,IT-1B,3596,CO-12,134572.39951361573
36,CO-16,444.7,49472,CA-14,34461,US-2,RE-A,18407.2666,CO-C,56847.25,IT-11,52324,CO-6,115248.7567806547
37,CO-27,3475.01,60101,CA-1E,24736,US-9,RE-14,12150.5612,CO-1,38154.21,IT-17,42129,CO-25,77605.79777004698
38,CO-16,5402.45,39477,CA-8,16381,US-19,RE-16,12880.1714,CO-A,37117.64,IT-19,39553,CO-D,72423.1941112082
39,CO-1C,2248.98,50366,CA-16,19118,US-19,RE-A,18447.4602,CO-C,40478.17,IT-9,9415,CO-13,65064.170176231484
40,CO-12,4149.44,43582,CA-23,13356,US-10,RE-3,12138.9175,CO-5,35029.31,IT-F,6497,CO-1B,67335.54098942864
41,CO-26,6691.54,56639,CA-5,14432,US-15,RE-18,11324.103,CO-6,45429.28,IT-15,5164,CO-12,100158.70606905763
42,CO-A,NA,46734,CA-1B,18273,US-A,RE-16,13619.9484,CO-0,30480.44,IT-13,14695,CO-16,49979.596522509564
43,CO-16,6319.68,56653,CA-0,10846,US-1E,RE-E,10267.5716,CO-2,32326.35,IT-1C,1819,CO-A,64739.89182754068
44,CO-1F,5650.54,43412,CA-7,21213,US-C,RE-19,6863.7744,CO-0,28493.09,IT-B,17720,CO-10,63752.68687563546
45,CO-6,NA,28820,CA-C,19515,US-10,RE-18,11113.9767,CO-4,37533.62,IT-13,23416,CO-1B,78159.3183560716
46,CO-2A,399.91,48049,CA-1B,20485,US-F,RE-3,12438.9475,CO-4,56442.98,IT-13,38215,CO-1B,130270.03348782482
47,CO-11,2014.07,54514,CA-15,23447,US-4,RE-12,12399.769,CO-8,85399.88,IT-B,25503,CO-D,214854.9917838106
48,CO-2B,NA,49474,CA-11,21713,US-C,RE-17,12577.8733,CO-F,32459.7,IT-11,41635,CO-5,59690.80845398132
49,CO-2D,2715.63,33875,CA-10,20005,US-26,RE-15,14406.7647,CO-5,25078.44,IT-2,51061,CO-11,33251.3893764832
50,CO-18,2032.3,54059,CA-25,21039,US-7,RE-8,15276.7251,CO-0,57816.09,IT-18,30947,CO-0,125974.47265055537
51,CO-14,NA,50000,CA-26,14267,US-15,RE-8,10778.0165,CO-9,33317.13,IT-5,43118,CO-22,67326.15779334829
52,CO-4,5492.74,43174,CA-25,14523,US-10,RE-7,14901.8729,CO-7,47579.35,IT-12,31474,CO-1E,97057.88890351458
53,CO-1D,5647.23,57734,CA-22,20043,US-10,RE-1B,14447.381,CO-7,29212.78,IT-6,10286,CO-6,43702.73805793387
54,CO-23,NA,66124,CA-0,22229,US-5,RE-12,9346.3419,CO-E,47669.16,IT-14,23644,CO-19,112939.676435454
55,CO-C,2807.27,57636,CA-9,30813,US-26,RE-1C,10270.1285,CO-3,33808.07,IT-17,17107,CO-3,69488.52217382083
56,CO-2,3959.4,48735,CA-1,18542,US-3,RE-A,5863.5163,CO-0,44692.74,IT-1B,45486,CO-2,114555.7775177542
57,CO-20,5556.67,65590,CA-5,24779,US-F,RE-8,15267.357,CO-8,48498.42,IT-A,47345,CO-1F,99351.52335245609
58,CO-18,5805.17,64095,CA-27,28195,US-28,RE-13,15607.5084,CO-E,49954.92,IT-14,53905,CO-27,102937.33025346517
59,CO-1F,5148.12,61673,CA-17,15180,US-0,RE-10,11146.9494,CO-1,42879.01,IT-1B,8736,CO-11,93304.05246571216
60,CO-18,4537.64,18062,CA-D,17719,US-26,RE-6,NA,CO-D,21122.12,IT-1B,40204,CO-1F,14435.112199362791
