id,height,width,depth,shape,quality,cost
1,40,53,89,cylinder,89,200.49
2,85,35,51,box,37,1175.71
3,12,19,61,box,23,131.72
4,29,37,20,box,94,15.83
5,87,40,22,cylinder,54,340.21
6,39,41,35,box,46,371.71
7,90,87,38,ellipsoid,53,675.47
8,67,56,74,box,48,1775.83
9,28,18,19,cylinder,23,71.23
10,61,10,41,box,67,101.51
11,90,41,18,box,97,24.5
12,96,4,5,box,84,3.77
13,70,49,60,box,25,1898.5
14,81,98,36,ellipsoid,26,1021.43
15,53,1,66,cylinder,85,5.06
16,88,43,23,cylinder,50,420.38
17,50,75,18,ellipsoid,36,208.66
18,94,59,32,ellipsoid,97,25.71
19,24,69,27,ellipsoid,70,64.79
20,3,77,78,ellipsoid,30,60.92
21,25,83,78,ellipsoid,45,429.97
22,31,15,44,ellipsoid,25,74.11
23,4,61,30,ellipsoid,12,31.11
24,19,97,34,box,29,547.22
25,59,15,11,ellipsoid,86,6.58
26,63,41,46,box,93,102.3
27,48,62,14,ellipsoid,35,130.8
28,10,10,88,ellipsoid,41,25.07
29,35,64,66,cylinder,34,942.6
30,71,4,67,box,57,100.63
31,22,27,40,cylinder,61,89.51
32,30,50,11,box,20,162.36
33,9,53,51,ellipsoid,78,25.85
34,77,21,74,ellipsoid,34,381.46
35,27,83,50,ellipsoid,12,476.27
36,3,45,40,cylinder,37,32.86
37,56,84,18,cylinder,44,458.06
38,93,35,99,box,43,2259.25
39,64,23,63,box,15,969.55
40,43,57,44,box,58,557.12
41,44,50,25,ellipsoid,1,263
42,74,92,99,box,51,4062.14
43,2,83,27,cylinder,62,16.45
44,87,40,38,ellipsoid,41,376.85
45,53,91,46,ellipsoid,65,375.06
46,46,88,24,box,51,585.53
47,78,80,43,cylinder,96,103.68
48,74,13,17,ellipsoid,27,57.66
49,12,84,9,cylinder,86,12.26
50,54,66,88,ellipsoid,68,484.76
51,16,49,58,box,34,369.14
52,45,28,22,box,77,78.41
53,12,90,73,box,49,494.56
54,64,58,42,ellipsoid,25,564.78
55,11,17,79,cylinder,100,0
56,47,33,79,cylinder,14,1017.96
57,82,78,56,cylinder,44,1937.66
58,45,46,7,cylinder,81,26.59
59,21,31,73,box,84,93.52
60,87,60,79,box,75,1268.06
61,25,50,59,ellipsoid,71,103.3
62,6,82,11,box,42,38.6
63,45,10,96,ellipsoid,6,196.14
64,53,84,48,cylinder,18,1692.79
65,8,30,36,cylinder,55,37.55
66,27,80,18,box,24,363.45
67,66,45,68,cylinder,20,1560.81
68,86,2,99,box,39,127.76
69,15,37,50,box,70,102.39
70,82,42,52,box,40,1321.66
71,30,94,43,ellipsoid,83,99.57
72,51,93,98,box,71,1657.99
73,72,65,47,cylinder,8,1954.9
74,46,66,82,cylinder,19,1948.02
75,95,80,70,cylinder,63,1901.55
76,91,81,34,ellipsoid,94,72.63
77,85,88,20,cylinder,18,1185.06
78,30,79,66,cylinder,100,0
79,92,82,59,box,12,4817.71
80,98,96,65,cylinder,12,5198.62
81,1,74,11,ellipsoid,60,1.57
82,68,20,67,box,39,683.67
83,10,75,23,cylinder,16,139.97
84,68,54,97,cylinder,57,1479.57
85,27,59,41,cylinder,6,593.09
86,43,9,78,ellipsoid,15,123.93
87,92,43,21,cylinder,99,8.02
88,74,90,89,ellipsoid,87,372.19
89,24,80,98,ellipsoid,42,527.13
90,52,32,60,cylinder,75,241.12
91,91,22,15,ellipsoid,36,92.83
92,82,31,51,cylinder,31,864.15
93,26,82,16,box,76,100.69
94,4,84,5,cylinder,73,4.38
95,36,5,36,ellipsoid,98,0.62
96,18,37,8,cylinder,58,21.61
97,22,10,7,ellipsoid,95,0.37
98,87,44,10,cylinder,45,203.39
99,33,15,73,ellipsoid,5,165.81
100,67,94,98,box,1,7515.69
101,9,47,47,ellipsoid,17,79.7
102,82,40,84,ellipsoid,28,958.18
103,12,43,31,cylinder,71,44.81
104,11,45,82,box,48,259.61
105,77,6,3,cylinder,48,6.96
106,45,10,74,box,24,311.28
107,34,22,20,cylinder,53,67.92
108,13,54,90,box,62,295.3
109,29,96,20,ellipsoid,95,13.44
110,75,55,80,cylinder,94,191.27
111,44,1,3,box,76,0.38
112,33,25,64,ellipsoid,93,17.85
113,3,16,35,ellipsoid,15,6.89
114,25,91,92,cylinder,34,1334.46
115,28,65,42,cylinder,54,339.68
116,76,63,74,box,4,4183.71
117,2,43,40,cylinder,38,20.6
118,12,4,25,ellipsoid,57,2.49
119,22,69,85,cylinder,41,735.42
120,8,33,23,cylinder,11,52.2
121,37,95,61,box,56,1160.41
122,91,59,81,cylinder,50,2100.6
123,80,19,22,ellipsoid,12,142.13
124,42,66,92,ellipsoid,37,776.04
125,73,69,82,cylinder,3,3870.37
126,59,70,6,ellipsoid,86,16.75
127,35,92,12,cylinder,44,209.03
128,13,17,90,box,92,19.57
129,45,91,42,cylinder,87,215.99
130,14,23,79,ellipsoid,46,66.35
131,81,89,83,box,10,6623.7
132,96,89,17,box,46,964.73
133,71,47,43,box,79,370.63
134,9,21,58,box,57,57.97
135,34,33,53,cylinder,89,63.19
136,76,52,80,cylinder,65,1068.98
137,44,33,16,ellipsoid,55,50.49
138,30,33,23,box,71,81.22
139,65,55,27,cylinder,41,550.15
140,5,34,57,ellipsoid,13,40.72
141,84,46,81,cylinder,43,1723.42
142,41,99,79,box,91,354.97
143,58,17,74,box,55,403.85
144,53,95,73,ellipsoid,40,1065.21
145,88,88,76,cylinder,47,3013.35
146,53,37,10,ellipsoid,52,45.46
147,63,2,37,box,79,12.04
148,70,28,93,ellipsoid,55,396.2
149,74,12,21,ellipsoid,2,88.27
150,82,43,70,box,81,576.81
151,95,86,69,ellipsoid,58,1143.62
